Folder,Number,Vy,Tram,Linh,Final
chill/lofi,1,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,2,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,3,chill/lofi,cinematic/epic,chill/lofi,DISCARD_TIE
chill/lofi,4,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,5,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,6,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,7,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,8,chill/lofi,cinematic/epic,chill/lofi,DISCARD_TIE
chill/lofi,9,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,10,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,11,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,12,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,13,soft/gentle,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,14,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,15,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,16,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,17,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,18,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,19,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,20,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,21,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,22,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,23,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,24,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,25,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,26,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,27,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,29,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,30,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,31,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,32,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,33,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,34,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,35,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,36,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,37,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,38,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,39,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,40,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,41,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,42,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,43,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,44,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,45,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,46,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,47,soft/gentle,chill/lofi,soft/gentle,DISCARD_TIE
chill/lofi,48,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,49,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,50,chill/lofi,chill/lofi,melancholic/sad,chill/lofi
chill/lofi,51,chill/lofi,chill/lofi,melancholic/sad,chill/lofi
chill/lofi,52,chill/lofi,chill/lofi,melancholic/sad,chill/lofi
chill/lofi,55,chill/lofi,chill/lofi,melancholic/sad,chill/lofi
chill/lofi,56,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,57,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,58,chill/lofi,chill/lofi,melancholic/sad,chill/lofi
chill/lofi,59,chill/lofi,chill/lofi,melancholic/sad,chill/lofi
chill/lofi,60,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,61,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,62,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,63,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,64,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,65,hype/energetic,hype/energetic,chill/lofi,hype/energetic
chill/lofi,66,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,67,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,68,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,69,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,70,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,71,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,72,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,73,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,74,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,75,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,77,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,78,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,79,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,80,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,81,melancholic/sad,melancholic/sad,melancholic/sad,melancholic/sad
chill/lofi,82,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,83,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,89,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,90,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,93,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,94,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,95,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,96,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,98,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,100,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,101,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,102,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,103,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,104,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,105,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,106,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,107,chill/lofi,hype/energetic,chill/lofi,DISCARD_TIE
chill/lofi,108,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,109,chill/lofi,hype/energetic,chill/lofi,DISCARD_TIE
chill/lofi,110,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,111,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,112,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,113,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,114,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,115,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,116,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,117,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,118,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,119,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,120,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,121,melancholic/sad,melancholic/sad,melancholic/sad,melancholic/sad
chill/lofi,123,melancholic/sad,melancholic/sad,melancholic/sad,melancholic/sad
chill/lofi,124,melancholic/sad,melancholic/sad,melancholic/sad,melancholic/sad
chill/lofi,125,melancholic/sad,melancholic/sad,chill/lofi,melancholic/sad
chill/lofi,127,melancholic/sad,melancholic/sad,chill/lofi,melancholic/sad
chill/lofi,130,melancholic/sad,melancholic/sad,chill/lofi,melancholic/sad
chill/lofi,131,melancholic/sad,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,132,melancholic/sad,melancholic/sad,melancholic/sad,melancholic/sad
chill/lofi,133,melancholic/sad,melancholic/sad,chill/lofi,melancholic/sad
chill/lofi,134,melancholic/sad,melancholic/sad,melancholic/sad,melancholic/sad
chill/lofi,135,melancholic/sad,melancholic/sad,chill/lofi,melancholic/sad
chill/lofi,136,melancholic/sad,melancholic/sad,chill/lofi,melancholic/sad
chill/lofi,137,melancholic/sad,melancholic/sad,melancholic/sad,melancholic/sad
chill/lofi,138,melancholic/sad,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,139,melancholic/sad,melancholic/sad,melancholic/sad,melancholic/sad
chill/lofi,140,melancholic/sad,melancholic/sad,melancholic/sad,melancholic/sad
chill/lofi,141,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,142,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,143,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,145,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,146,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,147,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,152,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,153,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,154,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,155,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,156,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,157,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,158,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,161,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,164,chill/lofi,cinematic/epic,chill/lofi,DISCARD_TIE
chill/lofi,165,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,166,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,168,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,169,cinematic/epic,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,170,cinematic/epic,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,171,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,172,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,173,soft/gentle,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,174,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,175,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,176,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,177,cinematic/epic,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,178,cinematic/epic,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,179,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,180,cinematic/epic,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,182,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,183,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,184,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,185,chill/lofi,hype/energetic,chill/lofi,DISCARD_TIE
chill/lofi,186,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,187,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,188,edgy/individualistic,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,189,edgy/individualistic,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,191,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
chill/lofi,192,edgy/individualistic,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,193,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,194,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,195,chill/lofi,cinematic/epic,chill/lofi,DISCARD_TIE
chill/lofi,196,chill/lofi,chill/lofi,chill/lofi,chill/lofi
chill/lofi,197,chill/lofi,cinematic/epic,chill/lofi,DISCARD_TIE
chill/lofi,198,chill/lofi,chill/lofi,chill/lofi,DISCARD_TIE
chill/lofi,199,chill/lofi,chill/lofi,cinematic/epic,DISCARD_TIE
chill/lofi,200,chill/lofi,cinematic/epic,cinematic/epic,cinematic/epic
cinematic/epic,1,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
cinematic/epic,2,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
cinematic/epic,3,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
cinematic/epic,4,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
cinematic/epic,5,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
cinematic/epic,6,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
cinematic/epic,7,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
cinematic/epic,8,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
cinematic/epic,9,cinematic/epic,cinematic/epic,cinematic/epic,cinematic/epic
