track_id,title,artist,vibe_category,spotify_url
6K3mUmOx4bUfqCjz6awAid,Lofi Chill Beats,Malmö 040,chill/lofi,https://open.spotify.com/track/6K3mUmOx4bUfqCjz6awAid
5dTiWDCLrInxfUwhLQZ5Em,Chill Day,LAKEY INSPIRED,chill/lofi,https://open.spotify.com/track/5dTiWDCLrInxfUwhLQZ5Em
2LW0lXKRiWRWhQpweQjtQf,Moonlight,Lofi Fruits Music,chill/lofi,https://open.spotify.com/track/2LW0lXKRiWRWhQpweQjtQf
33BVhVPj3sNc2Yy7U2r6v4,chill city strut,louke's beats,chill/lofi,https://open.spotify.com/track/33BVhVPj3sNc2Yy7U2r6v4
7j7VsX8rzW62JgWtazgTON,ILY (I Love You Baby),Lofi Fruits Music,chill/lofi,https://open.spotify.com/track/7j7VsX8rzW62JgWtazgTON
3L7mxSww01TpfpBmuegENt,Chill Waters,Juliàn,chill/lofi,https://open.spotify.com/track/3L7mxSww01TpfpBmuegENt
26q6YTrXt9l8qshIveiTX9,Rebirth Of Slick (Cool Like Dat),Digable Planets,chill/lofi,https://open.spotify.com/track/26q6YTrXt9l8qshIveiTX9
79zdJUpZ5R7ES6lDxPgwEZ,Fatty Boom Boom,Die Antwoord,chill/lofi,https://open.spotify.com/track/79zdJUpZ5R7ES6lDxPgwEZ
1NqWLcX9iImJRQUSXzmkrL,Agency,Rap Demon,chill/lofi,https://open.spotify.com/track/1NqWLcX9iImJRQUSXzmkrL
3VT2SvzjHJM73NtlpkOFyi,Carl,Ico Reaper,chill/lofi,https://open.spotify.com/track/3VT2SvzjHJM73NtlpkOFyi
7zGzS7L6LnI5qQqMm8wTPB,New Look - Wii U Mii Maker Lofi Mix,Secret Potion,chill/lofi,https://open.spotify.com/track/7zGzS7L6LnI5qQqMm8wTPB
6dxckiPRpZYUyLIMjgSi0J,Purity,BVG,chill/lofi,https://open.spotify.com/track/6dxckiPRpZYUyLIMjgSi0J
1rylJ0VXvhOzLGNm401iaI,Keep Their Heads Ringin',Dr. Dre,chill/lofi,https://open.spotify.com/track/1rylJ0VXvhOzLGNm401iaI
1nhNz1tWU8p5WvFAAgFW2h,Poor Thang,J. Cole,chill/lofi,https://open.spotify.com/track/1nhNz1tWU8p5WvFAAgFW2h
0AVjf7P0zyHVqb1viPhCvj,Chillin,Sineg,chill/lofi,https://open.spotify.com/track/0AVjf7P0zyHVqb1viPhCvj
2nGeyzSmZtAapnkxg1hJSM,Agency,Rap Demon,chill/lofi,https://open.spotify.com/track/2nGeyzSmZtAapnkxg1hJSM
7jIujRjK5JKNrMCcAvYUTN,Keep Their Heads Ringin',Dr. Dre,chill/lofi,https://open.spotify.com/track/7jIujRjK5JKNrMCcAvYUTN
5aO4QkABrFDfEalp7HVwMR,Chill Noons,Kronicle,chill/lofi,https://open.spotify.com/track/5aO4QkABrFDfEalp7HVwMR
3WraP8fhSTT2mZzY79pNtj,Chill Afternoon Near the Mekong,JIM,chill/lofi,https://open.spotify.com/track/3WraP8fhSTT2mZzY79pNtj
4LQ0TjIFk38xXNJVNoonSW,slow river,ourchase,chill/lofi,https://open.spotify.com/track/4LQ0TjIFk38xXNJVNoonSW
53gaMfQW5gdchpeDNAHMsU,Chill Rain,B l o m s t,chill/lofi,https://open.spotify.com/track/53gaMfQW5gdchpeDNAHMsU
3OTgtzA1GppqavJoCGtQew,The Eponym,Chill Bump,chill/lofi,https://open.spotify.com/track/3OTgtzA1GppqavJoCGtQew
4Dp35qmMXU71GRCnd78gCv,Indian Summer,Shuba,chill/lofi,https://open.spotify.com/track/4Dp35qmMXU71GRCnd78gCv
7MjKR5HNXBnV1wlagbXTML,Blocc Cruise,Lyno Nine8,chill/lofi,https://open.spotify.com/track/7MjKR5HNXBnV1wlagbXTML
3ix4TvLGpKSK6tI4gnED0F,Serene,Chill Denis,chill/lofi,https://open.spotify.com/track/3ix4TvLGpKSK6tI4gnED0F
2XdxihbjudHhbB95dgk3On,blizz,loutwo,chill/lofi,https://open.spotify.com/track/2XdxihbjudHhbB95dgk3On
1TAyi2YdPbbNYSULs0EXbP,fade,Beats on 21st,chill/lofi,https://open.spotify.com/track/1TAyi2YdPbbNYSULs0EXbP
3CdI7Iu8bDRnvZJJ0P1zWN,Magie,Kurdo,chill/lofi,https://open.spotify.com/track/3CdI7Iu8bDRnvZJJ0P1zWN
3OeX4IyrnpwkElW5iS8leo,All Shook Up,Elvis Presley,chill/lofi,https://open.spotify.com/track/3OeX4IyrnpwkElW5iS8leo
4EylNAAkY06Cb14t2EXOtD,Deadly Scent,Glokk40Spaz,chill/lofi,https://open.spotify.com/track/4EylNAAkY06Cb14t2EXOtD
1IJ2kXcVKw9Of3weornLMo,Speciaal,Frenna,chill/lofi,https://open.spotify.com/track/1IJ2kXcVKw9Of3weornLMo
